1000,708.0,0.0,12.0,0.0,0.0,0.0,0.0,15.0,3.0,3.0,0.0,0.0,28.0,15.0,50.0,0.0,6.0,17.0,12.0,9.0,8.0,3.0,5.0,8.0,7.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,9.0,9.0,4.0,15.0,14.0,4.0,13.0,6.0,5.0,6.0,12.0,10.0,4.0,6.0,0.0,1.0,15.0,25.0,1.0,18.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,47.0,87.0,170.0,391.0,70.0,61.0,191.0,204.0,4.0,39.0,147.0,63.0,237.0,250.0,57.0,5.0,228.0,191.0,292.0,75.0,14.0,54.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0
1002,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,47.0,32.0,34.0,0.0,4.0,12.0,16.0,14.0,11.0,8.0,0.0,9.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,7.0,5.0,5.0,24.0,10.0,1.0,1.0,5.0,3.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,5.0,12.0,0.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,60.0,51.0,210.0,336.0,76.0,58.0,137.0,179.0,6.0,27.0,169.0,55.0,217.0,245.0,64.0,1.0,185.0,125.0,278.0,84.0,30.0,54.0,7.0,56.0,2.0,0.0,0.0,0.0,0.0
1003,460.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,14.0,21.0,17.0,0.0,3.0,18.0,6.0,5.0,7.0,5.0,6.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,6.0,0.0,0.0,1.0,8.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,26.0,46.0,114.0,215.0,75.0,49.0,104.0,120.0,3.0,12.0,98.0,43.0,140.0,151.0,37.0,1.0,113.0,101.0,203.0,46.0,17.0,36.0,1.0,36.0,3.0,0.0,0.0,0.0,0.0
1003,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,15.0,0.0,4.0,10.0,3.0,6.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,3.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,14.0,25.0,75.0,126.0,33.0,31.0,61.0,71.0,0.0,17.0,51.0,19.0,108.0,85.0,18.0,3.0,70.0,54.0,122.0,48.0,9.0,23.0,1.0,41.0,2.0,0.0,0.0,0.0,0.0
1003,672.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,46.0,11.0,40.0,0.0,5.0,4.0,6.0,1.0,6.0,4.0,2.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,14.0,6.0,2.0,2.0,3.0,2.0,4.0,11.0,4.0,7.0,16.0,5.0,7.0,6.0,0.0,6.0,20.0,20.0,11.0,15.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,48.0,75.0,113.0,368.0,71.0,69.0,156.0,191.0,6.0,26.0,114.0,63.0,211.0,194.0,64.0,1.0,195.0,203.0,288.0,62.0,25.0,45.0,10.0,47.0,0.0,0.0,0.0,0.0,0.0
1003,1163.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,76.0,11.0,66.0,0.0,14.0,21.0,5.0,4.0,11.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,21.0,15.0,2.0,1.0,5.0,6.0,4.0,19.0,10.0,4.0,11.0,14.0,6.0,4.0,2.0,5.0,31.0,16.0,1.0,23.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,94.0,115.0,244.0,620.0,101.0,119.0,261.0,319.0,7.0,40.0,210.0,114.0,387.0,367.0,114.0,1.0,344.0,356.0,438.0,115.0,54.0,87.0,7.0,112.0,2.0,0.0,0.0,0.0,0.0
1003,252.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,10.0,12.0,0.0,6.0,12.0,6.0,4.0,3.0,6.0,0.0,0.0,1.0,8.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,7.0,9.0,0.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,3.0,13.0,0.0,2.0,0.0,2.0,8.0,7.0,1.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,21.0,14.0,48.0,150.0,12.0,26.0,62.0,61.0,0.0,13.0,39.0,44.0,69.0,78.0,9.0,0.0,62.0,61.0,114.0,14.0,4.0,24.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
1003,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,12.0,3.0,7.0,0.0,6.0,5.0,6.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,17.0,21.0,31.0,109.0,21.0,35.0,41.0,51.0,2.0,7.0,39.0,21.0,68.0,60.0,15.0,0.0,53.0,40.0,83.0,18.0,2.0,14.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0
1003,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,21.0,4.0,20.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,7.0,1.0,3.0,2.0,4.0,1.0,7.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,15.0,13.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,18.0,24.0,50.0,185.0,33.0,40.0,67.0,80.0,0.0,17.0,65.0,33.0,102.0,101.0,10.0,1.0,72.0,90.0,139.0,27.0,10.0,32.0,1.0,19.0,2.0,0.0,0.0,0.0,0.0
1003,767.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,8.0,8.0,0.0,1.0,41.0,3.0,55.0,0.0,19.0,25.0,21.0,15.0,13.0,9.0,14.0,11.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,6.0,2.0,5.0,1.0,3.0,12.0,5.0,3.0,6.0,3.0,8.0,2.0,5.0,2.0,3.0,2.0,15.0,23.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,39.0,85.0,103.0,409.0,82.0,75.0,179.0,215.0,0.0,22.0,106.0,54.0,238.0,211.0,62.0,2.0,170.0,247.0,279.0,73.0,33.0,45.0,5.0,63.0,2.0,0.0,0.0,0.0,0.0
1004,480.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,35.0,8.0,29.0,1.0,8.0,8.0,7.0,10.0,3.0,8.0,4.0,2.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,9.0,4.0,6.0,20.0,13.0,2.0,4.0,0.0,2.0,4.0,3.0,7.0,5.0,9.0,2.0,5.0,13.0,18.0,2.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,55.0,88.0,266.0,55.0,62.0,93.0,149.0,1.0,24.0,78.0,46.0,163.0,171.0,44.0,1.0,135.0,166.0,173.0,45.0,19.0,28.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0
1004,458.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,24.0,1.0,5.0,6.0,8.0,2.0,5.0,9.0,2.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,8.0,3.0,1.0,9.0,15.0,1.0,2.0,2.0,1.0,2.0,5.0,6.0,2.0,2.0,0.0,3.0,12.0,10.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,41.0,20.0,72.0,238.0,49.0,61.0,87.0,133.0,0.0,13.0,96.0,45.0,142.0,153.0,41.0,1.0,122.0,136.0,154.0,52.0,18.0,34.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0
1004,414.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,23.0,1.0,4.0,11.0,3.0,2.0,2.0,8.0,3.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0,3.0,3.0,1.0,3.0,5.0,0.0,12.0,3.0,4.0,0.0,2.0,1.0,0.0,4.0,12.0,9.0,4.0,8.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,22.0,34.0,84.0,197.0,35.0,43.0,74.0,97.0,0.0,17.0,80.0,39.0,156.0,142.0,28.0,0.0,99.0,114.0,166.0,46.0,12.0,24.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0
1004,486.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,8.0,20.0,1.0,5.0,5.0,8.0,4.0,3.0,6.0,4.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,9.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,7.0,1.0,3.0,1.0,0.0,7.0,12.0,13.0,1.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,35.0,43.0,108.0,259.0,40.0,65.0,94.0,143.0,3.0,20.0,99.0,40.0,173.0,183.0,36.0,0.0,125.0,126.0,198.0,63.0,12.0,43.0,2.0,30.0,1.0,0.0,0.0,0.0,0.0
1004,353.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,14.0,5.0,19.0,1.0,7.0,6.0,8.0,5.0,3.0,2.0,3.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,4.0,1.0,1.0,3.0,7.0,1.0,1.0,0.0,1.0,3.0,4.0,7.0,5.0,6.0,0.0,4.0,5.0,16.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,28.0,36.0,72.0,178.0,34.0,50.0,67.0,100.0,4.0,21.0,65.0,27.0,122.0,111.0,34.0,2.0,71.0,101.0,137.0,37.0,16.0,23.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0
1004,542.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,32.0,6.0,30.0,1.0,8.0,6.0,8.0,5.0,3.0,4.0,1.0,2.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,8.0,12.0,1.0,7.0,6.0,3.0,6.0,0.0,1.0,2.0,6.0,17.0,4.0,5.0,0.0,4.0,15.0,13.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,47.0,39.0,91.0,302.0,54.0,65.0,121.0,136.0,2.0,20.0,81.0,53.0,165.0,172.0,25.0,2.0,132.0,142.0,235.0,62.0,25.0,42.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0
1004,415.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,19.0,1.0,2.0,6.0,4.0,8.0,4.0,5.0,2.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,13.0,2.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,0.0,3.0,11.0,12.0,0.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,34.0,27.0,58.0,215.0,30.0,56.0,103.0,113.0,1.0,20.0,81.0,42.0,129.0,149.0,31.0,1.0,78.0,105.0,156.0,49.0,15.0,39.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
1004,303.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,16.0,0.0,3.0,4.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,2.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,4.0,11.0,13.0,0.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,23.0,9.0,37.0,163.0,32.0,50.0,67.0,98.0,1.0,9.0,41.0,25.0,118.0,92.0,20.0,1.0,71.0,83.0,136.0,34.0,14.0,26.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0
1005,743.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,0.0,0.0,35.0,7.0,48.0,0.0,4.0,18.0,14.0,6.0,4.0,5.0,2.0,3.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,14.0,2.0,10.0,11.0,6.0,1.0,5.0,4.0,4.0,2.0,3.0,6.0,3.0,3.0,0.0,3.0,21.0,16.0,3.0,13.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,50.0,74.0,94.0,388.0,77.0,55.0,176.0,208.0,1.0,34.0,136.0,63.0,205.0,249.0,45.0,4.0,197.0,204.0,293.0,72.0,48.0,57.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0
1005,670.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,24.0,12.0,38.0,0.0,15.0,17.0,15.0,7.0,6.0,4.0,3.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,13.0,1.0,5.0,3.0,11.0,0.0,8.0,1.0,3.0,1.0,6.0,4.0,1.0,2.0,0.0,1.0,15.0,15.0,3.0,9.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,241.0,50.0,79.0,97.0,367.0,49.0,66.0,158.0,175.0,3.0,18.0,123.0,60.0,207.0,225.0,49.0,1.0,170.0,221.0,263.0,83.0,33.0,42.0,4.0,54.0,1.0,0.0,0.0,0.0,0.0
1005,614.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,0.0,0.0,21.0,9.0,36.0,0.0,11.0,15.0,8.0,13.0,7.0,4.0,4.0,4.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,20.0,1.0,11.0,3.0,2.0,3.0,7.0,1.0,10.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,19.0,8.0,1.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,39.0,78.0,116.0,351.0,50.0,57.0,152.0,170.0,6.0,18.0,106.0,59.0,208.0,197.0,44.0,3.0,146.0,186.0,256.0,53.0,27.0,46.0,4.0,46.0,3.0,0.0,0.0,0.0,0.0
1005,331.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,17.0,3.0,23.0,0.0,5.0,4.0,6.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,5.0,9.0,7.0,2.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,17.0,33.0,43.0,210.0,34.0,44.0,70.0,100.0,3.0,24.0,66.0,23.0,107.0,93.0,14.0,1.0,108.0,87.0,155.0,37.0,17.0,25.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0
1005,436.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,17.0,5.0,26.0,0.0,5.0,10.0,4.0,3.0,2.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,3.0,0.0,1.0,0.0,5.0,4.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,0.0,1.0,16.0,6.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,21.0,73.0,69.0,244.0,42.0,39.0,120.0,112.0,6.0,10.0,58.0,58.0,121.0,155.0,44.0,4.0,128.0,148.0,166.0,60.0,21.0,44.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0
1005,366.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,13.0,16.0,28.0,0.0,8.0,14.0,8.0,3.0,7.0,5.0,3.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,9.0,0.0,3.0,1.0,1.0,5.0,0.0,0.0,1.0,5.0,10.0,1.0,0.0,0.0,2.0,5.0,13.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,11.0,31.0,78.0,174.0,39.0,30.0,79.0,97.0,1.0,5.0,55.0,34.0,108.0,140.0,18.0,4.0,82.0,103.0,165.0,46.0,14.0,32.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0
1005,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,21.0,6.0,38.0,0.0,16.0,15.0,11.0,4.0,4.0,9.0,3.0,2.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,18.0,4.0,6.0,3.0,5.0,6.0,3.0,4.0,3.0,1.0,4.0,4.0,0.0,1.0,0.0,3.0,24.0,14.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,33.0,69.0,88.0,299.0,46.0,39.0,150.0,140.0,4.0,20.0,93.0,47.0,169.0,176.0,35.0,5.0,177.0,184.0,212.0,69.0,22.0,48.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0
